Table A1;;;;;;;;;;;;
Growth-irradiance curve parameters and other information for all experiments used in the paper. The columns include: species (species name), mu_max (µmax, d-1), alpha (α, d-1 µmol photons-1 m2 s1), I_opt (Iopt, µmol photons m-2 s-1), I_max (the maximum irradiance used in the experiment, µmol photons m-2 s-1), culture temperature (°C), culture daylength (h), cell volume (µm3), taxon, environment (C = coastal, O = oceanic), Chl:C (mass ratio, measured under the lowest irradiance), and reference. In some cases the model-estimated Iopt can be very high, suggesting no evidence for photoinhibition in the experiment. We have included the maximum irradiance used in the experiment for comparison. ;;;;;;;;;;;;
;;;;;;;;;;;;
species;mu_max;alpha;I_opt;I_max;temperature;daylength;volume;taxon;environment;Chl:C;reference;
Fragilariopsis cylindrus;1.07E-01;2.02E-02;4.25E+01;1.25E+02;2.00E+00;2.40E+01;na;diatom;O;4.00E-02;1;
Phaeocystis antarctica;3.66E-01;1.52E-02;4.50E+01;1.25E+02;2.00E+00;2.40E+01;na;phaeocystis;C;1.52E-02;1;
Phaeocystis antarctica;2.48E-01;5.74E-03;7.99E+01;1.25E+02;2.00E+00;2.40E+01;1.20E+02;phaeocystis;C;2.44E-02;1;
Thalassiosira allenii;7.22E-01;9.74E-02;7.23E+01;1.94E+02;4.00E+00;2.40E+01;na;diatom;C;na;2;
Thalassiosira allenii;1.08E+00;5.98E-01;7.56E+11;1.94E+02;1.10E+01;2.40E+01;na;diatom;C;na;2;
Thalassiosira allenii;1.08E+00;1.60E-01;1.01E+04;1.94E+02;1.60E+01;2.40E+01;1.20E+03;diatom;C;na;2;
Thalassiosira allenii;1.17E+00;3.44E-02;9.97E+01;1.94E+02;2.00E+01;2.40E+01;na;diatom;C;na;2;
Ceratium furca;3.44E-01;1.43E-03;3.17E+02;7.96E+02;3.00E+01;1.20E+01;na;dinoflagellate;C;na;3;
Ceratium furca;5.66E-01;6.69E-03;3.96E+02;7.96E+02;2.80E+01;1.20E+01;na;dinoflagellate;C;na;3;
Ceratium furca;6.12E-01;3.55E-03;4.40E+02;7.96E+02;2.60E+01;1.20E+01;na;dinoflagellate;C;na;3;
Ceratium furca;6.30E-01;8.40E-03;7.75E+02;7.96E+02;2.40E+01;1.20E+01;na;dinoflagellate;C;na;3;
Ceratium furca;5.60E-01;3.64E-03;5.92E+02;7.96E+02;2.20E+01;1.20E+01;na;dinoflagellate;C;na;3;
Ceratium furca;4.79E-01;5.26E-03;5.00E+02;7.96E+02;2.00E+01;1.20E+01;na;dinoflagellate;C;na;3;
Ceratium furca;4.88E-01;3.71E-03;4.91E+02;7.96E+02;1.80E+01;1.20E+01;na;dinoflagellate;C;na;3;
Ceratium furca;2.64E-01;1.11E-03;5.26E+02;7.96E+02;1.60E+01;1.20E+01;na;dinoflagellate;C;na;3;
Ceratium furca;2.46E-01;1.31E-03;9.04E+02;7.96E+02;1.40E+01;1.20E+01;na;dinoflagellate;C;na;3;
Ceratium furca;4.01E-02;4.81E-05;5.21E+02;7.96E+02;1.20E+01;1.20E+01;na;dinoflagellate;C;na;3;
Ceratium fusus;2.87E-01;3.26E-03;1.85E+02;7.96E+02;3.00E+01;1.20E+01;na;dinoflagellate;C;na;3;
Ceratium fusus;5.82E-01;7.19E-03;7.40E+04;7.96E+02;2.80E+01;1.20E+01;na;dinoflagellate;C;na;3;
Ceratium fusus;5.72E-01;6.19E-03;4.24E+02;7.96E+02;2.60E+01;1.20E+01;na;dinoflagellate;C;na;3;
Ceratium fusus;4.08E-01;1.50E-02;8.31E+04;7.96E+02;2.40E+01;1.20E+01;na;dinoflagellate;C;na;3;
Ceratium fusus;4.54E-01;1.56E-03;4.48E+02;7.96E+02;2.20E+01;1.20E+01;na;dinoflagellate;C;na;3;
Ceratium fusus;4.52E-01;4.88E-03;3.46E+04;7.96E+02;2.00E+01;1.20E+01;na;dinoflagellate;C;na;3;
Ceratium fusus;3.42E-01;1.70E-03;4.93E+02;7.96E+02;1.80E+01;1.20E+01;na;dinoflagellate;C;na;3;
Ceratium fusus;2.53E-01;1.30E-03;2.15E+03;7.96E+02;1.60E+01;1.20E+01;na;dinoflagellate;C;na;3;
Ceratium fusus;2.40E-01;1.58E-03;6.21E+02;7.96E+02;1.40E+01;1.20E+01;na;dinoflagellate;C;na;3;
Ceratium fusus;1.54E-02;3.18E-04;1.46E+02;7.96E+02;1.20E+01;1.20E+01;na;dinoflagellate;C;na;3;
Phaeocystis antarctica;1.03E+00;3.81E-02;2.19E+04;3.50E+02;-1.60E+00;2.40E+01;1.20E+02;phaeocystis;O;na;4;
Phaeocystis antarctica;1.39E+00;2.85E-01;1.59E+04;3.50E+02;1.00E+00;2.40E+01;1.20E+02;phaeocystis;O;na;4;
Nitzschia curta;2.77E-01;8.50E-04;9.04E+01;3.50E+02;-1.60E+00;2.40E+01;1.05E+03;diatom;O;na;4;
Nitzschia curta;1.13E+00;5.30E-02;1.83E+02;3.50E+02;1.00E+00;2.40E+01;1.05E+03;diatom;O;na;4;
Chaetoceros socialis;2.99E-01;5.22E-03;5.18E+01;3.50E+02;-1.60E+00;2.40E+01;9.20E+01;diatom;O;na;4;
Chaetoceros socialis;8.25E-01;9.54E-02;2.30E+05;3.50E+02;1.00E+00;2.40E+01;9.20E+01;diatom;O;na;4;
Thalassiosira tumida;3.01E-01;5.40E-03;1.33E+02;3.50E+02;-1.60E+00;2.40E+01;3.30E+04;diatom;O;na;4;
Thalassiosira tumida;8.87E-01;3.38E-02;1.39E+02;3.50E+02;1.00E+00;2.40E+01;3.30E+04;diatom;O;na;4;
Biddulphia sp.;1.75E+00;2.90E-02;4.21E+02;7.30E+02;2.40E+01;1.40E+01;na;diatom;O;na;5;
Corethron criophilum;2.14E+00;2.89E-02;3.12E+02;7.30E+02;2.40E+01;1.40E+01;na;diatom;O;na;5;
Hemiaulus hauckii;2.73E+00;2.41E-02;3.84E+02;7.30E+02;2.40E+01;1.40E+01;na;diatom;O;na;5;
Ditylum brightwellii;1.29E+00;2.35E-02;2.55E+02;7.30E+02;2.40E+01;1.40E+01;1.55E+04;diatom;C;na;5;
Bacteriastrum delicatulum;2.85E+00;2.59E-02;3.28E+04;7.30E+02;2.40E+01;1.40E+01;na;diatom;O;na;5;
Streptotheca tamesis;1.58E+00;2.68E-02;4.95E+02;7.30E+02;2.40E+01;1.40E+01;na;diatom;O;na;5;
Prorocentrum micans;9.07E-01;1.32E-02;1.22E+05;7.30E+02;2.40E+01;1.40E+01;2.13E+04;dinoflagellate;C;na;5;
Thoracosphaera heimi;6.91E-01;2.75E-02;7.66E+04;7.30E+02;2.40E+01;1.40E+01;na;dinoflagellate;O;na;5;
Cyclococcolithina leptopora;6.05E-01;6.84E-02;3.17E+04;7.30E+02;2.40E+01;1.40E+01;na;coccolithophore;O;na;5;
Emiliania huxleyi;2.00E+00;4.22E-02;2.15E+04;7.30E+02;2.40E+01;1.40E+01;4.66E+01;coccolithophore;O;na;5;
Gephyrocapsa oceanica;1.69E+00;3.77E-02;3.28E+02;7.30E+02;2.40E+01;1.40E+01;na;coccolithophore;O;na;5;
Hymenomonas carterae;1.69E+00;2.88E-02;5.12E+02;7.30E+02;2.40E+01;1.40E+01;na;coccolithophore;C;na;5;
Asterionella glacialis;2.97E+00;4.06E-02;1.46E+03;7.30E+02;2.40E+01;1.40E+01;9.78E+01;diatom;C;na;5;
Coscinodiscus sp.;1.13E+00;2.02E-02;2.90E+02;7.30E+02;2.40E+01;1.40E+01;na;diatom;C;na;5;
Thalassiosira pseudonana;2.73E+00;3.57E-02;9.81E+04;7.30E+02;2.40E+01;1.40E+01;6.09E+01;diatom;C;na;5;
Thalassiosira sp.;2.04E+00;4.25E-02;1.11E+12;7.30E+02;2.40E+01;1.40E+01;na;diatom;O;na;5;
Skeletonema costatum;1.77E+00;1.79E-01;8.22E+01;2.56E+02;2.10E+01;2.40E+01;3.50E+02;diatom;C;na;6;
Cylindrotheca fusiformis;1.95E+00;2.20E-01;3.74E+03;2.56E+02;2.10E+01;2.40E+01;3.20E+02;diatom;C;na;6;
Thalassiosira eccentrica;1.70E+00;1.00E-01;1.17E+01;2.56E+02;2.10E+01;2.40E+01;2.50E+04;diatom;C;na;6;
Chaetoceros sp. ;1.94E+00;2.78E-01;6.53E+02;2.56E+02;2.10E+01;2.40E+01;3.50E+01;diatom;C;na;6;
Thalassiosira floridana;2.09E+00;8.58E-02;1.73E+02;2.56E+02;4.80E-01;2.40E+01;4.00E+02;diatom;C;na;6;
Gymnodinium simplex;8.59E-01;4.50E-02;1.04E+02;2.56E+02;2.10E+01;2.40E+01;4.00E+02;dinoflagellate;C;na;6;
Amphidinium carterae;6.83E-01;2.37E-01;6.95E+01;2.56E+02;2.10E+01;2.40E+01;8.00E+02;dinoflagellate;na;na;6;
Ceratium lineatum;2.32E-01;1.21E-01;2.19E+01;2.56E+02;2.10E+01;2.40E+01;9.00E+03;dinoflagellate;O;na;6;
Prorocentrum micans;5.62E-01;5.53E-02;4.50E+01;2.56E+02;2.10E+01;2.40E+01;1.00E+04;dinoflagellate;na;na;6;
Thalassiosira nordenskišldii;4.39E-01;4.43E-02;1.21E+02;3.21E+02;0.00E+00;1.20E+01;na;diatom;C;na;7;
Thalassiosira nordenskišldii;8.87E-01;5.97E-02;7.23E+03;3.21E+02;5.00E+00;1.20E+01;8.63E+03;diatom;C;na;7;
Thalassiosira nordenskišldii;1.07E+00;4.69E-02;1.61E+02;3.21E+02;1.00E+01;1.20E+01;8.63E+03;diatom;C;na;7;
Skeletonema costatum;9.80E-01;1.06E-01;7.26E+03;1.30E+02;1.50E+01;1.40E+01;8.00E+01;diatom;C;2.20E-02;8;
Dunaliella tertiolecta;1.68E+00;7.67E-03;1.99E+03;4.00E+02;1.50E+01;1.40E+01;9.00E+01;chlorophyte;na;3.20E-02;8;
Isochrysis galbana;1.26E+00;1.37E-02;3.62E+02;6.08E+02;1.80E+01;2.40E+01;5.02E+01;haptophyte;C;4.20E-02;9;
Thalassiosira weissflogii;1.91E+00;9.52E-03;5.50E+02;6.19E+02;1.80E+01;2.40E+01;1.43E+03;diatom;C;2.00E-02;9;
Prorocentrum micans;2.60E-01;1.19E-03;9.17E+03;5.99E+02;1.80E+01;2.40E+01;1.11E+03;dinoflagellate;C;na;9;
Phaeodactylum tricornutum;1.05E+00;4.61E-02;1.00E+04;2.08E+02;1.40E+01;1.40E+01;1.26E+02;diatom;C;na;10;
Phaeodactylum tricornutum;1.26E+00;5.85E-02;9.14E+03;2.08E+02;1.60E+01;1.40E+01;1.26E+02;diatom;C;na;10;
Phaeodactylum tricornutum;1.46E+00;5.71E-02;6.01E+03;2.08E+02;1.90E+01;1.40E+01;1.26E+02;diatom;C;na;10;
Phaeodactylum tricornutum;1.66E+00;5.28E-02;7.75E+03;2.08E+02;2.10E+01;1.40E+01;1.26E+02;diatom;C;na;10;
Phaeodactylum tricornutum;1.53E+00;4.62E-02;2.61E+02;2.08E+02;2.30E+01;1.40E+01;1.26E+02;diatom;C;na;10;
Phaeodactylum tricornutum;1.50E+00;4.46E-02;1.83E+03;2.08E+02;2.50E+01;1.40E+01;1.26E+02;diatom;C;na;10;
Corethron criophilum;2.36E-01;5.98E-03;2.75E+03;2.20E+02;1.50E-01;2.40E+01;na;diatom;O;na;11;
Corethron criophilum;2.01E-01;7.76E-03;1.22E+04;2.20E+02;2.00E+00;2.40E+01;na;diatom;O;na;11;
Corethron criophilum;3.14E-01;6.49E-03;2.05E+04;2.20E+02;4.00E+00;2.40E+01;na;diatom;O;na;11;
Corethron criophilum;1.19E-01;5.54E-04;1.59E+02;2.20E+02;6.00E+00;2.40E+01;na;diatom;O;na;11;
Synedra sp.;3.50E-01;4.57E-03;1.32E+02;2.20E+02;1.00E+00;2.40E+01;na;diatom;O;na;11;
Synedra sp.;3.88E-01;1.15E-02;1.61E+02;2.20E+02;5.00E+00;2.40E+01;na;diatom;O;na;11;
Synedra sp.;3.09E-01;3.32E-02;2.37E+04;2.20E+02;7.00E+00;2.40E+01;na;diatom;O;na;11;
Nitzschia kerguelensis;3.97E-01;6.42E-03;1.58E+02;2.20E+02;1.50E-01;2.40E+01;na;diatom;O;na;11;
Nitzschia kerguelensis;4.52E-01;3.41E-02;1.07E+04;2.20E+02;3.00E+00;2.40E+01;na;diatom;O;na;11;
Nitzschia kerguelensis;5.91E-01;2.16E-02;2.41E+04;2.20E+02;4.00E+00;2.40E+01;na;diatom;O;na;11;
Nitzschia kerguelensis;3.24E-01;4.46E-03;9.38E+01;2.20E+02;7.00E+00;2.40E+01;na;diatom;O;na;11;
Nitzschia turgiduloides;3.22E-01;5.25E-03;1.61E+02;2.20E+02;1.00E+00;2.40E+01;na;diatom;O;na;11;
Nitzschia turgiduloides;5.13E-01;7.30E-03;1.53E+02;2.20E+02;3.00E+00;2.40E+01;na;diatom;O;na;11;
Nitzschia turgiduloides;4.68E-01;1.18E-02;1.60E+02;2.20E+02;5.00E+00;2.40E+01;na;diatom;O;na;11;
Nitzschia turgiduloides;3.48E-01;7.05E-03;1.57E+02;2.20E+02;7.00E+00;2.40E+01;na;diatom;O;na;11;
Nitzschia turgiduloides;2.67E-01;5.56E-03;1.13E+02;2.20E+02;8.00E+00;2.40E+01;na;diatom;O;na;11;
Nitzschia cylindrus;5.50E-01;7.38E-03;1.41E+02;2.20E+02;1.00E-01;2.40E+01;na;diatom;O;na;11;
Nitzschia cylindrus;4.84E-01;9.04E-03;1.44E+02;2.20E+02;3.00E+00;2.40E+01;na;diatom;O;na;11;
Nitzschia cylindrus;6.02E-01;1.51E-02;3.72E+02;2.20E+02;5.00E+00;2.40E+01;na;diatom;O;na;11;
Nitzschia cylindrus;4.56E-01;6.69E-03;3.02E+02;2.20E+02;7.00E+00;2.40E+01;na;diatom;O;na;11;
Nitzschia cylindrus;4.43E-01;6.73E-03;2.24E+02;2.20E+02;9.00E+00;2.40E+01;na;diatom;O;na;11;
Stellarima microtrias;5.60E-01;1.19E-02;2.91E+02;2.20E+02;1.00E+00;2.40E+01;na;diatom;O;na;11;
Stellarima microtrias;6.89E-01;1.64E-02;9.24E+03;2.20E+02;4.00E+00;2.40E+01;na;diatom;O;na;11;
Stellarima microtrias;3.44E-01;3.25E-02;2.71E+04;2.20E+02;7.00E+00;2.40E+01;na;diatom;O;na;11;
Chaetoceros deflandrei;5.72E-01;1.29E-02;1.65E+02;2.20E+02;7.00E+00;2.40E+01;na;diatom;O;na;11;
Chaetoceros deflandrei;5.37E-01;1.04E-02;1.38E+02;2.20E+02;1.00E+01;2.40E+01;na;diatom;O;na;11;
Chaetoceros deflandrei;5.46E-01;5.90E-03;1.41E+02;2.20E+02;1.30E+01;2.40E+01;na;diatom;O;na;11;
Chaetoceros deflandrei;5.96E-01;5.35E-03;1.37E+02;2.20E+02;1.50E+01;2.40E+01;na;diatom;O;na;11;
Coscinodiscus pavillardii;3.96E-01;1.25E-02;1.34E+02;2.11E+02;2.80E+01;2.40E+01;3.14E+06;diatom;C;na;12;
Trichodesmium erythraeum;3.43E-01;3.46E-03;1.60E+02;3.01E+02;2.40E+01;1.20E+01;na;diazotroph;C;na;13;
Crocosphaera watsonii;5.65E-01;8.57E-03;2.27E+02;2.58E+02;2.80E+01;1.20E+01;8.20E+00;diazotroph;O;na;14;
Crocosphaera watsonii;8.10E-01;1.22E-02;2.48E+02;2.56E+02;2.80E+01;1.20E+01;6.50E+01;diazotroph;O;na;14;
Gyrodinium cf. aureolum;2.78E-01;6.87E-03;1.74E+02;4.40E+02;2.00E+01;1.20E+01;5.60E+03;dinoflagellate;C;2.43E-02;15;
Phaeodactylum tricornutum;1.68E+00;3.38E-02;2.30E+02;2.30E+02;2.30E+01;2.40E+01;na;diatom;C;6.70E-02;16;
Nannochloris atomus;1.13E+00;1.59E-02;1.41E+02;2.28E+02;2.30E+01;2.40E+01;na;chlorophyte;C;1.00E-01;17;
Thalassiosira antarctica var. borealis;3.67E-01;5.33E-03;1.99E+02;5.00E+02;-5.00E-01;1.00E+01;na;diatom;C;na;18;
Thalassiosira antarctica var. borealis;5.75E-01;5.36E-02;6.04E+06;5.00E+02;-5.00E-01;2.40E+01;na;diatom;C;na;18;
Thalassiosira nordenskišldii;3.60E-01;7.85E-03;1.83E+02;5.00E+02;-5.00E-01;1.00E+01;na;diatom;C;na;18;
Thalassiosira nordenskišldii;5.75E-01;2.02E-02;1.98E+02;5.00E+02;-5.00E-01;2.40E+01;na;diatom;C;na;18;
Porosira glacialis;3.16E-01;7.80E-03;1.53E+02;5.00E+02;-5.00E-01;1.00E+01;na;diatom;C;na;18;
Porosira glacialis;3.71E-01;2.22E-02;1.86E+02;5.00E+02;-5.00E-01;2.40E+01;na;diatom;C;na;18;
Nitzschia delicatissima;1.61E-01;1.72E-02;1.16E+02;5.00E+02;-5.00E-01;1.00E+01;na;diatom;C;na;18;
Nitzschia delicatissima;4.61E-01;3.53E-02;1.41E+02;5.00E+02;-5.00E-01;2.40E+01;na;diatom;C;na;18;
Thalassiosira bulbosa;3.89E-01;9.98E-03;1.55E+02;5.00E+02;-5.00E-01;1.00E+01;na;diatom;C;na;18;
Thalassiosira bulbosa;6.53E-01;1.97E-02;1.36E+02;5.00E+02;-5.00E-01;2.40E+01;na;diatom;C;na;18;
Thalassiosira bioculata;2.09E-01;5.65E-03;2.78E+02;5.00E+02;-5.00E-01;1.00E+01;na;diatom;C;na;18;
Thalassiosira bioculata;4.26E-01;1.61E-02;1.44E+02;5.00E+02;-5.00E-01;2.40E+01;na;diatom;C;na;18;
Chaetoceros furcellatus;4.60E-01;1.09E-02;1.67E+02;5.00E+02;-5.00E-01;1.00E+01;na;diatom;C;na;18;
Chaetoceros furcellatus;4.78E-01;1.50E-02;1.25E+02;5.00E+02;-5.00E-01;2.40E+01;na;diatom;C;na;18;
Phaeomonas sp.;3.39E-01;2.34E-03;3.55E+02;3.50E+02;2.00E+01;1.10E+01;1.87E+01;pinguiophyte;C;1.50E-03;19;
Minutocellus sp.;8.24E-01;1.97E-02;6.13E+01;2.16E+02;2.00E+01;1.10E+01;1.37E+01;diatom;C;na;20;
Minutocellus sp.;2.25E+00;3.88E-02;1.54E+04;2.16E+02;2.00E+01;1.10E+01;1.30E+01;diatom;C;na;20;
Trichodesmium erythraeum;5.63E-01;8.77E-03;8.03E+02;2.74E+02;2.70E+01;1.20E+01;2.30E+02;diazotroph;C;na;21;
Crocosphaera watsonii;4.46E-01;9.72E-03;2.38E+02;6.01E+02;2.70E+01;1.20E+01;2.20E+01;diazotroph;O;na;21;
Stephanopyxis palmeriana;6.66E-01;7.75E-03;7.31E+01;7.90E+01;2.00E+01;1.20E+01;na;diatom;O;na;22;
Isochrysis galbana;6.55E-01;2.83E-01;2.65E+04;1.68E+02;1.00E+01;1.20E+01;na;haptophyte;C;na;23;
Isochrysis galbana;7.41E-01;2.51E-01;3.58E+03;1.69E+02;1.50E+01;1.20E+01;na;haptophyte;C;na;23;
Isochrysis galbana;1.36E+00;1.13E-01;7.58E+03;1.68E+02;2.00E+01;1.20E+01;na;haptophyte;C;na;23;
Isochrysis galbana;2.54E+00;5.11E-01;1.80E+04;1.67E+02;2.50E+01;1.20E+01;na;haptophyte;C;na;23;
Rhodomonas salina;7.07E-01;2.97E-01;9.29E+03;1.68E+02;1.00E+01;1.20E+01;na;cryptophyte;C;na;23;
Rhodomonas salina;8.33E-01;2.26E-01;8.59E+03;1.68E+02;1.50E+01;1.20E+01;na;cryptophyte;C;na;23;
Rhodomonas salina;1.08E+00;1.18E-01;6.05E+03;1.68E+02;2.00E+01;1.20E+01;na;cryptophyte;C;na;23;
Rhodomonas salina;1.61E+00;1.71E-01;7.56E+01;1.68E+02;2.50E+01;1.20E+01;na;cryptophyte;C;na;23;
Detonula confervacea;1.22E+00;2.51E-02;5.15E+01;2.63E+02;2.00E+00;2.40E+01;1.61E+03;diatom;C;na;24;
Detonula confervacea;6.61E-01;9.79E-02;3.28E+01;2.63E+02;2.00E+00;1.50E+01;1.61E+03;diatom;C;na;24;
Detonula confervacea;4.36E-01;1.38E-01;5.94E+01;2.63E+02;2.00E+00;1.20E+01;1.61E+03;diatom;C;na;24;
Detonula confervacea;8.69E-01;5.70E-02;7.96E+01;2.63E+02;7.00E+00;2.40E+01;1.61E+03;diatom;C;na;24;
Detonula confervacea;8.93E-01;1.19E-01;1.63E+11;2.63E+02;7.00E+00;1.50E+01;1.61E+03;diatom;C;na;24;
Detonula confervacea;7.83E-01;2.79E-02;1.87E+02;2.63E+02;7.00E+00;1.20E+01;1.61E+03;diatom;C;na;24;
Triparma laevis;2.32E+00;4.67E-02;7.12E+02;4.96E+02;5.00E+00;1.40E+01;na;bolidophyte;O;na;25;
Rhizosolenia fragilissima;4.78E-01;6.45E-02;8.79E+01;2.63E+02;9.00E+00;2.40E+01;na;diatom;C;na;26;
Rhizosolenia fragilissima;8.23E-01;7.42E-02;7.06E+01;2.63E+02;1.20E+01;2.40E+01;na;diatom;C;na;26;
Rhizosolenia fragilissima;8.22E-01;2.90E+00;2.39E+07;2.63E+02;1.80E+01;2.40E+01;na;diatom;C;na;26;
Rhizosolenia fragilissima;8.35E-01;1.03E+00;5.40E+01;2.63E+02;2.50E+01;2.40E+01;na;diatom;C;na;26;
Pycnococcus provasolii;3.11E-01;2.80E-02;1.27E+02;3.58E+02;1.00E+01;1.20E+01;na;chlorophyte;O;na;27;
Pycnococcus provasolii;7.03E-01;3.87E-02;2.75E+03;3.53E+02;1.50E+01;1.20E+01;1.09E+01;chlorophyte;O;2.50E-02;27;
Pycnococcus provasolii;6.54E-01;4.70E-02;8.04E+03;5.34E+02;2.00E+01;1.20E+01;1.09E+01;chlorophyte;O;2.86E-02;27;
Phaeocystis globosa;8.11E-01;1.96E-02;3.54E+04;3.58E+02;1.40E+01;na;1.72E+02;phaeocystis;C;na;28;
Isochrysis galbana;4.13E-01;3.04E-02;4.08E+01;4.67E+01;2.50E+01;na;5.30E+01;haptophyte;na;na;29;
Asterionella glacialis;9.53E-01;1.63E-02;9.45E+01;1.22E+02;1.80E+01;2.40E+01;9.78E+01;diatom;C;na;29;
Synechococcus;1.78E+00;2.09E-02;7.57E+02;1.34E+03;2.25E+01;2.40E+01;1.19E+00;cyanobacteria;O;1.80E-02;30;
Gambierdiscus australes;2.78E-01;2.28E-03;7.72E+01;6.14E+02;2.60E+01;1.20E+01;9.31E+04;dinoflagellate;na;na;31;
Gambierdiscus caribaeus;2.62E-01;8.74E-04;1.75E+02;6.69E+02;2.60E+01;1.20E+01;1.70E+05;dinoflagellate;na;na;31;
Gambierdiscus carpenteri;3.94E-01;7.57E-03;1.59E+02;6.11E+02;2.60E+01;1.20E+01;1.50E+05;dinoflagellate;na;na;31;
Gambierdiscus ruetzleri;2.78E-01;4.93E-03;2.16E+02;6.63E+02;2.60E+01;1.20E+01;6.00E+04;dinoflagellate;na;na;31;
Gambierdiscus ribotype2;2.70E-01;2.22E-03;9.04E+01;6.70E+02;2.60E+01;1.20E+01;9.00E+04;dinoflagellate;na;na;31;
